datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/4/2017 6:00:00 AM,1/4/2017 1:00:00 AM,1/4/2017 7:00:00 AM,1/4/2017 2:00:00 AM,DUQ,1283
1/4/2017 7:00:00 AM,1/4/2017 2:00:00 AM,1/4/2017 8:00:00 AM,1/4/2017 3:00:00 AM,DUQ,1273
1/4/2017 8:00:00 AM,1/4/2017 3:00:00 AM,1/4/2017 9:00:00 AM,1/4/2017 4:00:00 AM,DUQ,1262
1/4/2017 9:00:00 AM,1/4/2017 4:00:00 AM,1/4/2017 10:00:00 AM,1/4/2017 5:00:00 AM,DUQ,1289
1/4/2017 10:00:00 AM,1/4/2017 5:00:00 AM,1/4/2017 11:00:00 AM,1/4/2017 6:00:00 AM,DUQ,1389
1/4/2017 11:00:00 AM,1/4/2017 6:00:00 AM,1/4/2017 12:00:00 PM,1/4/2017 7:00:00 AM,DUQ,1514
1/4/2017 12:00:00 PM,1/4/2017 7:00:00 AM,1/4/2017 1:00:00 PM,1/4/2017 8:00:00 AM,DUQ,1625
1/4/2017 1:00:00 PM,1/4/2017 8:00:00 AM,1/4/2017 2:00:00 PM,1/4/2017 9:00:00 AM,DUQ,1652
1/4/2017 2:00:00 PM,1/4/2017 9:00:00 AM,1/4/2017 3:00:00 PM,1/4/2017 10:00:00 AM,DUQ,1677
1/4/2017 3:00:00 PM,1/4/2017 10:00:00 AM,1/4/2017 4:00:00 PM,1/4/2017 11:00:00 AM,DUQ,1690
1/4/2017 4:00:00 PM,1/4/2017 11:00:00 AM,1/4/2017 5:00:00 PM,1/4/2017 12:00:00 PM,DUQ,1693
1/4/2017 5:00:00 PM,1/4/2017 12:00:00 PM,1/4/2017 6:00:00 PM,1/4/2017 1:00:00 PM,DUQ,1680
1/4/2017 6:00:00 PM,1/4/2017 1:00:00 PM,1/4/2017 7:00:00 PM,1/4/2017 2:00:00 PM,DUQ,1681
1/4/2017 7:00:00 PM,1/4/2017 2:00:00 PM,1/4/2017 8:00:00 PM,1/4/2017 3:00:00 PM,DUQ,1686
1/4/2017 8:00:00 PM,1/4/2017 3:00:00 PM,1/4/2017 9:00:00 PM,1/4/2017 4:00:00 PM,DUQ,1684
1/4/2017 9:00:00 PM,1/4/2017 4:00:00 PM,1/4/2017 10:00:00 PM,1/4/2017 5:00:00 PM,DUQ,1729
1/4/2017 10:00:00 PM,1/4/2017 5:00:00 PM,1/4/2017 11:00:00 PM,1/4/2017 6:00:00 PM,DUQ,1853
1/4/2017 11:00:00 PM,1/4/2017 6:00:00 PM,1/5/2017 12:00:00 AM,1/4/2017 7:00:00 PM,DUQ,1885
1/5/2017 12:00:00 AM,1/4/2017 7:00:00 PM,1/5/2017 1:00:00 AM,1/4/2017 8:00:00 PM,DUQ,1877
1/5/2017 1:00:00 AM,1/4/2017 8:00:00 PM,1/5/2017 2:00:00 AM,1/4/2017 9:00:00 PM,DUQ,1841
1/5/2017 2:00:00 AM,1/4/2017 9:00:00 PM,1/5/2017 3:00:00 AM,1/4/2017 10:00:00 PM,DUQ,1774
1/5/2017 3:00:00 AM,1/4/2017 10:00:00 PM,1/5/2017 4:00:00 AM,1/4/2017 11:00:00 PM,DUQ,1683
1/5/2017 4:00:00 AM,1/4/2017 11:00:00 PM,1/5/2017 5:00:00 AM,1/5/2017 12:00:00 AM,DUQ,1610
1/5/2017 5:00:00 AM,1/5/2017 12:00:00 AM,1/5/2017 6:00:00 AM,1/5/2017 1:00:00 AM,DUQ,1538
1/5/2017 6:00:00 AM,1/5/2017 1:00:00 AM,1/5/2017 7:00:00 AM,1/5/2017 2:00:00 AM,DUQ,1495
1/5/2017 7:00:00 AM,1/5/2017 2:00:00 AM,1/5/2017 8:00:00 AM,1/5/2017 3:00:00 AM,DUQ,1468
1/5/2017 8:00:00 AM,1/5/2017 3:00:00 AM,1/5/2017 9:00:00 AM,1/5/2017 4:00:00 AM,DUQ,1474
1/5/2017 9:00:00 AM,1/5/2017 4:00:00 AM,1/5/2017 10:00:00 AM,1/5/2017 5:00:00 AM,DUQ,1509
1/5/2017 10:00:00 AM,1/5/2017 5:00:00 AM,1/5/2017 11:00:00 AM,1/5/2017 6:00:00 AM,DUQ,1594
1/5/2017 11:00:00 AM,1/5/2017 6:00:00 AM,1/5/2017 12:00:00 PM,1/5/2017 7:00:00 AM,DUQ,1727
1/5/2017 12:00:00 PM,1/5/2017 7:00:00 AM,1/5/2017 1:00:00 PM,1/5/2017 8:00:00 AM,DUQ,1817
1/5/2017 1:00:00 PM,1/5/2017 8:00:00 AM,1/5/2017 2:00:00 PM,1/5/2017 9:00:00 AM,DUQ,1833
1/5/2017 2:00:00 PM,1/5/2017 9:00:00 AM,1/5/2017 3:00:00 PM,1/5/2017 10:00:00 AM,DUQ,1841
1/5/2017 3:00:00 PM,1/5/2017 10:00:00 AM,1/5/2017 4:00:00 PM,1/5/2017 11:00:00 AM,DUQ,1845
1/5/2017 4:00:00 PM,1/5/2017 11:00:00 AM,1/5/2017 5:00:00 PM,1/5/2017 12:00:00 PM,DUQ,1853
1/5/2017 5:00:00 PM,1/5/2017 12:00:00 PM,1/5/2017 6:00:00 PM,1/5/2017 1:00:00 PM,DUQ,1850
1/5/2017 6:00:00 PM,1/5/2017 1:00:00 PM,1/5/2017 7:00:00 PM,1/5/2017 2:00:00 PM,DUQ,1848
1/5/2017 7:00:00 PM,1/5/2017 2:00:00 PM,1/5/2017 8:00:00 PM,1/5/2017 3:00:00 PM,DUQ,1853
1/5/2017 8:00:00 PM,1/5/2017 3:00:00 PM,1/5/2017 9:00:00 PM,1/5/2017 4:00:00 PM,DUQ,1856
1/5/2017 9:00:00 PM,1/5/2017 4:00:00 PM,1/5/2017 10:00:00 PM,1/5/2017 5:00:00 PM,DUQ,1874
1/5/2017 10:00:00 PM,1/5/2017 5:00:00 PM,1/5/2017 11:00:00 PM,1/5/2017 6:00:00 PM,DUQ,1946
1/5/2017 11:00:00 PM,1/5/2017 6:00:00 PM,1/6/2017 12:00:00 AM,1/5/2017 7:00:00 PM,DUQ,1965
