datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/3/2015 5:00:00 PM,1/3/2015 12:00:00 PM,1/3/2015 6:00:00 PM,1/3/2015 1:00:00 PM,DUQ,1673
1/3/2015 6:00:00 PM,1/3/2015 1:00:00 PM,1/3/2015 7:00:00 PM,1/3/2015 2:00:00 PM,DUQ,1661
1/3/2015 7:00:00 PM,1/3/2015 2:00:00 PM,1/3/2015 8:00:00 PM,1/3/2015 3:00:00 PM,DUQ,1649
1/3/2015 8:00:00 PM,1/3/2015 3:00:00 PM,1/3/2015 9:00:00 PM,1/3/2015 4:00:00 PM,DUQ,1644
1/3/2015 9:00:00 PM,1/3/2015 4:00:00 PM,1/3/2015 10:00:00 PM,1/3/2015 5:00:00 PM,DUQ,1682
1/3/2015 10:00:00 PM,1/3/2015 5:00:00 PM,1/3/2015 11:00:00 PM,1/3/2015 6:00:00 PM,DUQ,1710
1/3/2015 11:00:00 PM,1/3/2015 6:00:00 PM,1/4/2015 12:00:00 AM,1/3/2015 7:00:00 PM,DUQ,1715
1/4/2015 12:00:00 AM,1/3/2015 7:00:00 PM,1/4/2015 1:00:00 AM,1/3/2015 8:00:00 PM,DUQ,1698
1/4/2015 1:00:00 AM,1/3/2015 8:00:00 PM,1/4/2015 2:00:00 AM,1/3/2015 9:00:00 PM,DUQ,1657
1/4/2015 2:00:00 AM,1/3/2015 9:00:00 PM,1/4/2015 3:00:00 AM,1/3/2015 10:00:00 PM,DUQ,1588
1/4/2015 3:00:00 AM,1/3/2015 10:00:00 PM,1/4/2015 4:00:00 AM,1/3/2015 11:00:00 PM,DUQ,1481
1/4/2015 4:00:00 AM,1/3/2015 11:00:00 PM,1/4/2015 5:00:00 AM,1/4/2015 12:00:00 AM,DUQ,1364
1/4/2015 5:00:00 AM,1/4/2015 12:00:00 AM,1/4/2015 6:00:00 AM,1/4/2015 1:00:00 AM,DUQ,1325
1/4/2015 6:00:00 AM,1/4/2015 1:00:00 AM,1/4/2015 7:00:00 AM,1/4/2015 2:00:00 AM,DUQ,1250
1/4/2015 7:00:00 AM,1/4/2015 2:00:00 AM,1/4/2015 8:00:00 AM,1/4/2015 3:00:00 AM,DUQ,1209
1/4/2015 8:00:00 AM,1/4/2015 3:00:00 AM,1/4/2015 9:00:00 AM,1/4/2015 4:00:00 AM,DUQ,1190
1/4/2015 9:00:00 AM,1/4/2015 4:00:00 AM,1/4/2015 10:00:00 AM,1/4/2015 5:00:00 AM,DUQ,1199
1/4/2015 10:00:00 AM,1/4/2015 5:00:00 AM,1/4/2015 11:00:00 AM,1/4/2015 6:00:00 AM,DUQ,1197
1/4/2015 11:00:00 AM,1/4/2015 6:00:00 AM,1/4/2015 12:00:00 PM,1/4/2015 7:00:00 AM,DUQ,1230
1/4/2015 12:00:00 PM,1/4/2015 7:00:00 AM,1/4/2015 1:00:00 PM,1/4/2015 8:00:00 AM,DUQ,1269
